ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11878373,JC493970,10/31/2019 10:15:00 PM,063XX S ARTESIAN AVE,0554,ASSAULT,AGG PO HANDS NO/MIN INJURY,APARTMENT,true,false,0825,008,16,66,08A,1161127,1862600,2019,11/07/2019 03:55:19 PM,41.778656405,-87.684846319,"(41.778656405, -87.684846319)"
11451222,JB442137,09/19/2018 02:00:00 PM,046XX N BROADWAY,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,true,false,1913,019,46,3,18,1167879,1931073,2018,09/26/2018 04:18:54 PM,41.966409342,-87.658118304,"(41.966409342, -87.658118304)"
11789674,JC386956,08/10/2019 03:19:00 PM,051XX W MADISON ST,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,STREET,true,false,1533,015,28,25,18,1141997,1899535,2019,08/17/2019 04:05:51 PM,41.880386045,-87.754066247,"(41.880386045, -87.754066247)"
11808634,JC409844,08/23/2019 07:30:00 AM,004XX S STATE ST,0890,THEFT,FROM BUILDING,LIBRARY,false,false,0113,001,4,32,06,1176436,1898416,2019,08/30/2019 04:05:10 PM,41.876607964,-87.627644063,"(41.876607964, -87.627644063)"
11410700,JB389241,08/10/2018 11:56:00 PM,027XX S KILDARE AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,1031,010,22,30,26,1148166,1885508,2018,08/17/2018 04:03:37 PM,41.841777734,-87.731774961,"(41.841777734, -87.731774961)"
12175823,JD378930,09/24/2020 09:40:00 PM,047XX S LECLAIRE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0814,008,22,56,14,1143157,1872778,2020,10/01/2020 03:50:30 PM,41.806939504,-87.750473569,"(41.806939504, -87.750473569)"
11451285,JB442138,09/19/2018 02:45:00 PM,030XX W WALNUT ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,false,1222,012,27,27,08B,1156164,1901479,2018,09/26/2018 04:18:54 PM,41.885446395,-87.701993627,"(41.885446395, -87.701993627)"
12127507,JD322621,08/06/2020 10:00:00 AM,048XX S WOOD ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0931,009,15,61,08B,1165167,1872502,2020,08/13/2020 03:48:16 PM,41.805744159,-87.669755148,"(41.805744159, -87.669755148)"
11817531,JC420030,09/03/2019 09:00:00 AM,001XX W DIVISION ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,BANK,false,false,1821,018,2,8,11,1175207,1908349,2019,09/10/2019 04:17:45 PM,41.903892302,-87.631858359,"(41.903892302, -87.631858359)"
12201730,JD409178,10/14/2020 12:44:00 AM,063XX S DR MARTIN LUTHER KING JR DR,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0312,003,20,69,08B,,,2020,10/24/2020 03:51:49 PM,,,
11813901,JC415981,08/31/2019 05:45:00 PM,027XX N TROY ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,1411,014,32,22,05,1154909,1917948,2019,09/07/2019 04:00:40 PM,41.930664021,-87.706160048,"(41.930664021, -87.706160048)"
11462299,JB456449,09/30/2018 01:08:00 AM,085XX S WOLCOTT AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0614,006,18,71,14,1165169,1848054,2018,10/07/2018 04:11:34 PM,41.738655546,-87.670438934,"(41.738655546, -87.670438934)"
11797393,JC396318,08/17/2019 01:10:00 AM,001XX W HUBBARD ST,0870,THEFT,POCKET-PICKING,BAR OR TAVERN,false,false,1831,018,42,8,06,1175290,1903292,2019,08/24/2019 04:06:10 PM,41.890013771,-87.631705393,"(41.890013771, -87.631705393)"
11878749,JC494474,10/31/2019 03:15:00 AM,032XX W LAKE ST,0320,ROBBERY,STRONGARM - NO WEAPON,CTA PLATFORM,false,false,1123,011,28,27,03,1154840,1901084,2019,11/07/2019 03:55:19 PM,41.884389103,-87.706866213,"(41.884389103, -87.706866213)"
11486434,JB488573,10/24/2018 04:18:00 PM,040XX W GRENSHAW ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),RESIDENCE,true,false,1132,011,24,29,18,1149715,1894737,2018,10/31/2018 04:17:26 PM,41.867073338,-87.725850958,"(41.867073338, -87.725850958)"
