ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11861158,JC473054,10/15/2019 03:03:00 AM,042XX S WENTWORTH AVE,141A,WEAPONS VIOLATION,UNLAWFUL USE HANDGUN,GAS STATION,true,false,0925,009,3,37,15,1175638,1876714,2019,11/04/2019 03:54:29 PM,41.817074013,-87.631225483,"(41.817074013, -87.631225483)"
11862109,JC474166,10/15/2019 08:02:00 PM,063XX S PARNELL AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,VEHICLE NON-COMMERCIAL,true,false,0722,007,20,68,15,1173711,1863032,2019,10/22/2019 04:09:46 PM,41.779572187,-87.638699762,"(41.779572187, -87.638699762)"
11861034,JC472990,10/15/2019 12:20:00 AM,060XX S HONORE ST,141A,WEAPONS VIOLATION,UNLAWFUL USE HANDGUN,ALLEY,false,false,0714,007,15,67,15,1165053,1864654,2019,10/22/2019 04:09:46 PM,41.784210701,-87.670395226,"(41.784210701, -87.670395226)"
11862840,JC474924,10/15/2019 10:10:00 PM,027XX N LINDER AVE,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,2514,025,30,19,03,1139234,1917834,2019,10/22/2019 04:09:46 PM,41.930651384,-87.763765703,"(41.930651384, -87.763765703)"
11861106,JC473048,10/15/2019 02:45:00 AM,089XX S BURLEY AVE,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,0424,004,10,46,03,1199222,1846384,2019,10/22/2019 04:09:46 PM,41.733285426,-87.545733841,"(41.733285426, -87.545733841)"
11861872,JC473789,10/15/2019 03:35:00 PM,002XX S STATE ST,031A,ROBBERY,ARMED: HANDGUN,SMALL RETAIL STORE,false,false,0113,001,42,32,03,1176413,1899313,2019,10/22/2019 04:09:46 PM,41.879069903,-87.627701434,"(41.879069903, -87.627701434)"
11862082,JC474258,10/15/2019 09:00:00 PM,092XX S COMMERCIAL AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,SIDEWALK,false,false,0423,004,10,46,04A,1197746,1844398,2019,10/22/2019 04:09:46 PM,41.727872617,-87.551207132,"(41.727872617, -87.551207132)"
11861558,JC473621,10/15/2019 02:22:00 PM,110XX S VERNON AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,RESIDENCE PORCH/HALLWAY,true,false,0513,005,9,49,15,1181207,1831760,2019,10/22/2019 04:09:46 PM,41.693588725,-87.612179395,"(41.693588725, -87.612179395)"
11862071,JC474162,10/15/2019 06:30:00 PM,021XX W WASHINGTON BLVD,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,1223,012,27,28,03,1162122,1900665,2019,10/22/2019 04:09:46 PM,41.883090343,-87.680137475,"(41.883090343, -87.680137475)"
11861148,JC473076,10/15/2019 05:30:00 AM,052XX S WESTERN BLVD,033A,ROBBERY,ATTEMPT: ARMED-HANDGUN,GAS STATION,false,false,0923,009,15,63,03,1161416,1869760,2019,10/22/2019 04:09:46 PM,41.798298412,-87.683588448,"(41.798298412, -87.683588448)"
11861619,JC473622,10/15/2019 02:10:00 PM,035XX W OHIO ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,true,false,1121,011,27,23,15,1152752,1903774,2019,10/22/2019 04:09:46 PM,41.891812307,-87.714462415,"(41.891812307, -87.714462415)"
11861825,JC474011,10/15/2019 06:44:00 PM,033XX S MORGAN ST,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,false,false,0913,009,11,60,04B,1170193,1882583,2019,10/22/2019 04:09:46 PM,41.833299469,-87.651028132,"(41.833299469, -87.651028132)"
11862140,JC473676,10/15/2019 01:20:00 PM,047XX W MONROE ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,RESIDENCE,true,false,1113,011,28,25,15,1144756,1899145,2019,10/22/2019 04:09:46 PM,41.87926429,-87.743945195,"(41.87926429, -87.743945195)"
11861898,JC474126,10/15/2019 08:07:00 PM,107XX S MICHIGAN AVE,5111,OTHER OFFENSE,GUN OFFENDER: ANNUAL REGISTRATION,STREET,true,false,0513,005,9,49,26,1178807,1833720,2019,10/22/2019 04:09:46 PM,41.699022046,-87.620906931,"(41.699022046, -87.620906931)"
11861476,JC473374,10/15/2019 11:03:00 AM,010XX W 62ND ST,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,false,false,0712,007,16,68,04B,1170574,1863699,2019,10/22/2019 04:09:46 PM,41.781471476,-87.650180934,"(41.781471476, -87.650180934)"
11861612,JC473487,10/15/2019 12:31:00 PM,086XX S STATE ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,SIDEWALK,true,false,0632,006,6,44,15,1177796,1847780,2019,10/22/2019 04:09:46 PM,41.737627443,-87.62418468,"(41.737627443, -87.62418468)"
11861925,JC474096,10/15/2019 07:11:00 PM,039XX W POLK ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,PARK PROPERTY,true,false,1132,011,24,26,15,1150319,1896078,2019,10/22/2019 04:09:46 PM,41.870741447,-87.723598607,"(41.870741447, -87.723598607)"
11862131,JC474243,10/15/2019 07:18:00 PM,009XX W MARQUETTE RD,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,true,false,0723,007,6,68,15,1170989,1860402,2019,10/22/2019 04:09:46 PM,41.772415058,-87.648755676,"(41.772415058, -87.648755676)"
11861224,JC473055,10/15/2019 02:27:00 AM,012XX N CENTRAL AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,GAS STATION,true,false,2532,025,37,25,04A,1138787,1907525,2019,10/22/2019 04:09:46 PM,41.902370457,-87.76565911,"(41.902370457, -87.76565911)"
11863055,JC475249,10/16/2019 05:51:00 PM,075XX S CARPENTER ST,041A,BATTERY,AGGRAVATED - HANDGUN,RESIDENCE - YARD (FRONT / BACK),false,false,0612,006,17,71,04B,1170620,1854794,2019,06/07/2020 03:45:36 PM,41.757034053,-87.650271569,"(41.757034053, -87.650271569)"
11862698,JC474961,10/16/2019 03:00:00 PM,008XX W 50TH ST,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,0933,009,20,61,03,1171617,1871696,2019,10/23/2019 04:17:05 PM,41.803393322,-87.6461227,"(41.803393322, -87.6461227)"
11863146,JC475486,10/16/2019 09:06:00 PM,002XX E 31ST ST,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,false,false,0211,002,3,35,04B,1178335,1884499,2019,10/23/2019 04:17:05 PM,41.838375767,-87.621095503,"(41.838375767, -87.621095503)"
11863218,JC475581,10/16/2019 10:34:00 PM,007XX E 93RD ST,5110,OTHER OFFENSE,GUN OFFENDER: DUTY TO REGISTER,STREET,true,false,0633,006,9,44,26,1183003,1843476,2019,10/23/2019 04:17:05 PM,41.72569745,-87.605241191,"(41.72569745, -87.605241191)"
11862671,JC474825,10/16/2019 01:22:00 PM,003XX E 72ND ST,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,0323,003,6,69,03,1179904,1857359,2019,10/23/2019 04:17:05 PM,41.763865372,-87.616169065,"(41.763865372, -87.616169065)"
11862710,JC474700,10/16/2019 11:26:00 AM,008XX W 86TH ST,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,false,false,0613,006,21,71,04A,1171989,1847818,2019,10/23/2019 04:17:05 PM,41.737861057,-87.645458798,"(41.737861057, -87.645458798)"
11865538,JC474939,10/16/2019 02:35:00 PM,063XX S DR MARTIN LUTHER KING JR DR,051A,ASSAULT,AGGRAVATED: HANDGUN,APARTMENT,false,false,0312,003,20,69,04A,1180014,1862897,2019,10/23/2019 04:17:05 PM,41.779059693,-87.615596501,"(41.779059693, -87.615596501)"
11863223,JC475564,10/16/2019 09:45:00 PM,043XX S SPAULDING AVE,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,false,false,0821,008,14,58,04B,1155073,1875742,2019,10/23/2019 04:17:05 PM,41.814843049,-87.706689678,"(41.814843049, -87.706689678)"
11862451,JC474588,10/16/2019 09:06:00 AM,004XX S HOMAN AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,RESIDENCE,false,false,1134,011,28,27,15,1153787,1897737,2019,10/23/2019 04:17:05 PM,41.875225616,-87.710822131,"(41.875225616, -87.710822131)"
11863155,JC475460,10/16/2019 07:45:00 PM,067XX S LAFAYETTE AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,true,false,0722,007,6,69,15,1176997,1860207,2019,10/23/2019 04:17:05 PM,41.771746614,-87.626738051,"(41.771746614, -87.626738051)"
11862842,JC475320,10/16/2019 06:20:00 PM,084XX S BURLEY AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,RESIDENCE,true,true,0424,004,10,46,04A,1199278,1849621,2019,10/23/2019 04:17:05 PM,41.742166587,-87.545420123,"(41.742166587, -87.545420123)"
11863543,JC475985,10/16/2019 08:15:00 PM,064XX S TRIPP AVE,031A,ROBBERY,ARMED: HANDGUN,"SCHOOL, PUBLIC, GROUNDS",false,false,0813,008,13,65,03,1149149,1861491,2019,10/23/2019 04:17:05 PM,41.77585261,-87.728787594,"(41.77585261, -87.728787594)"
11863110,JC475390,10/16/2019 07:17:00 PM,018XX W 87TH ST,031A,ROBBERY,ARMED: HANDGUN,RESTAURANT,false,false,0614,006,21,71,03,1165781,1846989,2019,11/01/2019 04:00:05 PM,41.735720069,-87.668226842,"(41.735720069, -87.668226842)"
11862213,JC474345,10/16/2019 02:40:00 AM,060XX S ASHLAND AVE,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,0713,007,16,67,03,1166703,1864763,2019,10/23/2019 04:17:05 PM,41.784474741,-87.664342569,"(41.784474741, -87.664342569)"
